iter	RMSE
0	9707.003084
1	9019.1102
2	8408.904338
3	7862.531112
4	7371.742639
5	6919.563618
6	6517.278065
7	6169.126039
8	5857.31759
9	5562.067755
10	5314.142413
11	5091.628232
12	4885.993909
13	4711.97265
14	4553.496817
15	4405.994267
16	4265.132182
17	4158.656247
18	4052.317584
19	3957.650994
20	3874.601813
21	3792.119386
22	3720.963447
23	3652.982388
24	3592.757959
25	3547.637069
26	3496.846367
27	3446.602591
28	3404.123626
29	3368.239184
30	3332.169371
31	3302.797767
32	3271.284079
33	3245.40378
34	3220.417093
35	3197.183428
36	3173.034695
37	3151.495154
38	3132.103972
39	3107.433389
40	3094.276368
41	3071.449577
42	3056.088749
43	3040.710438
44	3016.201254
45	2999.236959
46	2990.032664
47	2974.447505
48	2962.137725
49	2948.392712
50	2938.708886
51	2928.697723
52	2913.81206
53	2904.818667
54	2893.339062
55	2881.204551
56	2867.26203
57	2856.77678
58	2846.977285
59	2836.725594
60	2829.510845
61	2820.209831
62	2806.95249
63	2801.814533
64	2795.671049
65	2789.377933
66	2784.394264
67	2777.933468
68	2770.654643
69	2766.125001
70	2758.259416
71	2753.379391
72	2741.917035
73	2736.341042
74	2728.652416
75	2719.549357
76	2711.315307
77	2702.788192
78	2693.221423
79	2688.885846
80	2684.739889
81	2673.195607
82	2665.591307
83	2661.016497
84	2656.653825
85	2649.792681
86	2642.295635
87	2636.718388
88	2631.066055
89	2620.660447
90	2613.842217
91	2609.333972
92	2603.656052
93	2597.972891
94	2592.391763
95	2588.08213
96	2581.999557
97	2575.793887
98	2565.090593
99	2561.43495
100	2558.060969
101	2552.205556
102	2546.362796
103	2543.152477
104	2539.634052
105	2534.587691
106	2531.318
107	2527.937348
108	2522.04914
109	2518.128042
110	2512.67735
111	2507.352964
112	2504.465716
113	2497.331564
114	2492.375207
115	2486.608273
116	2481.428197
117	2473.488718
118	2469.815817
119	2465.310414
120	2460.339673
121	2455.970079
122	2451.549603
123	2448.349305
124	2443.769258
125	2438.444882
126	2432.924075
127	2428.826946
128	2423.640818
129	2418.256803
130	2416.075284
131	2413.255047
132	2407.671744
133	2403.373531
134	2400.082474
135	2396.3402
136	2392.78902
137	2389.833969
138	2384.617541
139	2382.200713
140	2375.601929
141	2369.754567
142	2367.454839
143	2364.996048
144	2360.079154
145	2355.477196
146	2350.396978
147	2347.271509
148	2343.794588
149	2341.826161
150	2338.087679
151	2333.649256
152	2330.858498
153	2326.452839
154	2322.824347
155	2316.848953
156	2314.624644
157	2310.136126
158	2306.420177
159	2303.853196
160	2301.425201
161	2296.25395
162	2293.926508
163	2292.120022
164	2288.736986
165	2284.195186
166	2280.640434
167	2278.395205
168	2276.36288
169	2275.05674
170	2270.320609
171	2268.190743
172	2265.263564
173	2262.927341
174	2260.675698
175	2258.019857
176	2255.538229
177	2251.315191
178	2249.366782
179	2244.910977
180	2243.729313
181	2240.527472
182	2237.536845
183	2235.300174
184	2232.652021
185	2229.656881
186	2226.370025
187	2224.597255
188	2222.246325
189	2220.180576
190	2217.57032
191	2212.974336
192	2208.533811
193	2205.941989
194	2201.801001
195	2200.480998
196	2198.469993
197	2196.640539
198	2192.511189
199	2189.902053
200	2185.747715
201	2181.974069
202	2178.49683
203	2175.224566
204	2173.036472
205	2171.699423
206	2169.602187
207	2167.522646
208	2166.264122
209	2163.831463
210	2162.243029
211	2158.932487
212	2155.082262
213	2153.462139
214	2150.072327
215	2147.622124
216	2145.068142
217	2142.603082
218	2140.355184
219	2137.847537
220	2135.831828
221	2134.142513
222	2131.668028
223	2129.168891
224	2125.758933
225	2124.494361
226	2122.029131
227	2119.499892
228	2116.520501
229	2113.709068
230	2111.786751
231	2109.721645
232	2108.11272
233	2105.918145
234	2104.591996
235	2101.413527
236	2099.256663
237	2096.724242
238	2094.949971
239	2092.474724
240	2091.098886
241	2089.079727
242	2087.975592
243	2085.649868
244	2083.798873
245	2080.769003
246	2077.268344
247	2075.551413
248	2073.769106
249	2071.028913
250	2069.812149
251	2068.110895
252	2065.056627
253	2063.682766
254	2062.775071
255	2059.523486
256	2056.619172
257	2052.931008
258	2051.937902
259	2049.497116
260	2048.347063
261	2045.930877
262	2044.973955
263	2044.231964
264	2041.666751
265	2039.966616
266	2038.098279
267	2036.148719
268	2034.196358
269	2030.600627
270	2028.635807
271	2027.455551
272	2025.06661
273	2022.93458
274	2021.365338
275	2019.823006
276	2017.722446
277	2015.582931
278	2012.95072
279	2011.81746
280	2009.638944
