iter	Passed	Remaining
0	445	445528
1	741	370110
2	1054	350481
3	1348	335746
4	1635	325394
5	1961	324925
6	2251	319386
7	2530	313791
8	2799	308292
9	3090	305954
10	3378	303779
11	3693	304113
12	3984	302479
13	4287	301929
14	4563	299684
15	4831	297131
16	5094	294593
17	5379	293487
18	5610	289673
19	5902	289244
20	6167	287539
21	6423	285534
22	6677	283666
23	6936	282094
24	7217	281496
25	7467	279734
26	7708	277808
27	7933	275410
28	8172	273646
29	8374	270763
30	8601	268853
31	8880	268639
32	9108	266908
33	9372	266302
34	9605	264833
35	9864	264155
36	10079	262333
37	10353	262097
38	10579	260682
39	10850	260416
40	11076	259090
41	11316	258125
42	11559	257271
43	11840	257260
44	12091	256612
45	12316	255423
46	12598	255453
47	12825	254373
48	13103	254305
49	13373	254096
50	13615	253360
51	13837	252275
52	14121	252321
53	14408	252410
54	14626	251304
55	14853	250383
56	15130	250313
57	15348	249273
58	15585	248578
59	15787	247336
60	16028	246737
61	16274	246215
62	16497	245369
63	16732	244717
64	16983	244305
65	17220	243701
66	17469	243276
67	17699	242582
68	17906	241604
69	18133	240913
70	18378	240468
71	18614	239915
72	18899	239994
73	19152	239666
74	19384	239075
75	19630	238666
76	19889	238419
77	20147	238157
78	20384	237649
79	20567	236529
80	20838	236422
81	21078	235979
82	21380	236220
83	21625	235823
84	21890	235648
85	22161	235527
86	22380	234866
87	22625	234486
88	22905	234456
89	23114	233709
90	23351	233259
91	23542	232356
92	23868	232781
93	24025	231563
94	24222	230752
95	24401	229783
96	24679	229750
97	24858	228796
98	25056	228041
99	25309	227781
100	25551	227430
101	25785	227010
102	26001	226436
103	26175	225514
104	26386	224911
105	26583	224207
106	26835	223966
107	27015	223128
108	27302	223180
109	27562	223001
110	27791	222582
111	28018	222148
112	28266	221879
113	28470	221269
114	28649	220476
115	28892	220184
116	29048	219230
117	29319	219153
118	29506	218447
119	29738	218085
120	30021	218088
121	30238	217616
122	30517	217590
123	30783	217473
124	31044	217311
125	31304	217143
126	31504	216565
127	31709	216019
128	31958	215783
129	32229	215686
130	32461	215336
131	32689	214958
132	32918	214589
133	33129	214105
134	33395	213976
135	33640	213715
136	33863	213317
137	34139	213247
138	34423	213228
139	34644	212814
140	34963	213003
141	35202	212703
142	35466	212551
