state,state_income,region,region_url
al,49671,auburn,https://auburn.craigslist.org
al,49671,birmingham,https://bham.craigslist.org
al,49671,dothan,https://dothan.craigslist.org
al,49671,florence / muscle shoals,https://shoals.craigslist.org
al,49671,gadsden-anniston,https://gadsden.craigslist.org
al,49671,huntsville / decatur,https://huntsville.craigslist.org
al,49671,mobile,https://mobile.craigslist.org
al,49671,montgomery,https://montgomery.craigslist.org
al,49671,tuscaloosa,https://tuscaloosa.craigslist.org
ak,65677,anchorage / mat-su,https://anchorage.craigslist.org
ak,65677,fairbanks,https://fairbanks.craigslist.org
ak,65677,kenai peninsula,https://kenai.craigslist.org
ak,65677,southeast alaska,https://juneau.craigslist.org
az,55574,flagstaff / sedona,https://flagstaff.craigslist.org
az,55574,mohave county,https://mohave.craigslist.org
az,55574,phoenix,https://phoenix.craigslist.org
az,55574,prescott,https://prescott.craigslist.org
az,55574,show low,https://showlow.craigslist.org
az,55574,sierra vista,https://sierravista.craigslist.org
az,55574,tucson,https://tucson.craigslist.org
az,55574,yuma,https://yuma.craigslist.org
ar,50588,fayetteville,https://fayar.craigslist.org
ar,50588,fort smith,https://fortsmith.craigslist.org
ar,50588,jonesboro,https://jonesboro.craigslist.org
ar,50588,little rock,https://littlerock.craigslist.org
ar,50588,texarkana,https://texarkana.craigslist.org
ca,76800,bakersfield,https://bakersfield.craigslist.org
ca,76800,chico,https://chico.craigslist.org
ca,76800,fresno / madera,https://fresno.craigslist.org
ca,76800,gold country,https://goldcountry.craigslist.org
ca,76800,hanford-corcoran,https://hanford.craigslist.org
ca,76800,humboldt county,https://humboldt.craigslist.org
ca,76800,imperial county,https://imperial.craigslist.org
ca,76800,inland empire,https://inlandempire.craigslist.org
ca,76800,los angeles,https://losangeles.craigslist.org
ca,76800,mendocino county,https://mendocino.craigslist.org
ca,76800,merced,https://merced.craigslist.org
ca,76800,modesto,https://modesto.craigslist.org
ca,76800,monterey bay,https://monterey.craigslist.org
ca,76800,orange county,https://orangecounty.craigslist.org
ca,76800,palm springs,https://palmsprings.craigslist.org
ca,76800,redding,https://redding.craigslist.org
ca,76800,sacramento,https://sacramento.craigslist.org
ca,76800,san diego,https://sandiego.craigslist.org
ca,76800,san luis obispo,https://slo.craigslist.org
ca,76800,santa barbara,https://santabarbara.craigslist.org
ca,76800,ventura county,https://ventura.craigslist.org
ca,76800,santa maria,https://santamaria.craigslist.org
ca,76800,SF bay area,https://sfbay.craigslist.org
ca,76800,siskiyou county,https://siskiyou.craigslist.org
ca,76800,stockton,https://stockton.craigslist.org
ca,76800,susanville,https://susanville.craigslist.org
ca,76800,visalia-tulare,https://visalia.craigslist.org
ca,76800,yuba-sutter,https://yubasutter.craigslist.org
co,70715,boulder,https://boulder.craigslist.org
co,70715,colorado springs,https://cosprings.craigslist.org
ne,61210,north platte,https://northplatte.craigslist.org
co,70715,denver,https://denver.craigslist.org
co,70715,eastern CO,https://eastco.craigslist.org
co,70715,fort collins / north CO,https://fortcollins.craigslist.org
co,70715,high rockies,https://rockies.craigslist.org
co,70715,pueblo,https://pueblo.craigslist.org
co,70715,western slope,https://westslope.craigslist.org
ct,82885,eastern CT,https://newlondon.craigslist.org
ct,82885,hartford,https://hartford.craigslist.org
ct,82885,new haven,https://newhaven.craigslist.org
ct,82885,northwest CT,https://nwct.craigslist.org
dc,96659,"washington, DC",https://washingtondc.craigslist.org
de,59846,delaware,https://delaware.craigslist.org
fl,62136,daytona beach,https://daytona.craigslist.org
fl,62136,florida keys,https://keys.craigslist.org
fl,62136,ft myers / SW florida,https://fortmyers.craigslist.org
fl,62136,gainesville,https://gainesville.craigslist.org
fl,62136,heartland florida,https://cfl.craigslist.org
fl,62136,jacksonville,https://jacksonville.craigslist.org
fl,62136,lakeland,https://lakeland.craigslist.org
fl,62136,north central FL,https://lakecity.craigslist.org
fl,62136,ocala,https://ocala.craigslist.org
fl,62136,okaloosa / walton,https://okaloosa.craigslist.org
fl,62136,orlando,https://orlando.craigslist.org
fl,62136,panama city,https://panamacity.craigslist.org
fl,62136,pensacola,https://pensacola.craigslist.org
fl,62136,sarasota-bradenton,https://sarasota.craigslist.org
fl,62136,south florida,https://miami.craigslist.org
fl,62136,space coast,https://spacecoast.craigslist.org
fl,62136,st augustine,https://staugustine.craigslist.org
fl,62136,tallahassee,https://tallahassee.craigslist.org
fl,62136,tampa bay area,https://tampa.craigslist.org
fl,62136,treasure coast,https://treasure.craigslist.org
ga,55846,albany,https://albanyga.craigslist.org
ga,55846,athens,https://athensga.craigslist.org
ga,55846,atlanta,https://atlanta.craigslist.org
ga,55846,augusta,https://augusta.craigslist.org
ga,55846,brunswick,https://brunswick.craigslist.org
ga,55846,columbus,https://columbusga.craigslist.org
ga,55846,macon / warner robins,https://macon.craigslist.org
ga,55846,northwest GA,https://nwga.craigslist.org
ga,55846,savannah / hinesville,https://savannah.craigslist.org
ga,55846,statesboro,https://statesboro.craigslist.org
ga,55846,valdosta,https://valdosta.craigslist.org
hi,60711,hawaii,https://honolulu.craigslist.org
id,52276,boise,https://boise.craigslist.org
id,52276,east idaho,https://eastidaho.craigslist.org
id,52276,lewiston / clarkston,https://lewiston.craigslist.org
id,52276,pullman / moscow,https://pullman.craigslist.org
