iter	RMSE
0	9826.532188
1	9107.405837
2	8453.343586
3	7879.45302
4	7364.310082
5	6906.763752
6	6495.552838
7	6125.944259
8	5791.466297
9	5504.206265
10	5238.543592
11	4994.19594
12	4779.777335
13	4586.968589
14	4417.192818
15	4267.832506
16	4132.326782
17	4016.200635
18	3910.15272
19	3811.900087
20	3719.124049
21	3645.341003
22	3578.295388
23	3508.974588
24	3445.458594
25	3387.406794
26	3345.669143
27	3303.836028
28	3260.225612
29	3222.189352
30	3184.378914
31	3150.029557
32	3120.643415
33	3092.2731
34	3059.087618
35	3034.237468
36	3007.410828
37	2988.170059
38	2967.49431
39	2946.261149
40	2928.465991
41	2912.448274
42	2897.769045
43	2885.332409
44	2869.949879
45	2853.010755
46	2842.168014
47	2829.778161
48	2816.999858
49	2807.355341
50	2795.114652
51	2782.956271
52	2770.147469
53	2760.222073
54	2749.571612
55	2739.058323
56	2722.318956
57	2713.584852
58	2702.704189
59	2692.188099
60	2685.782135
61	2678.009949
62	2666.635471
63	2658.298537
64	2651.13194
65	2643.630604
66	2635.351376
67	2624.845555
68	2619.759322
69	2613.390728
70	2604.429332
71	2601.195081
72	2595.970648
73	2586.342029
74	2581.059092
75	2568.108364
76	2558.512147
77	2546.200302
78	2540.171404
79	2530.561321
80	2524.208762
81	2519.247955
82	2514.364942
83	2505.316307
84	2499.524513
85	2491.721408
86	2484.786793
87	2477.013005
88	2473.067747
89	2467.361841
90	2460.177576
91	2453.277451
92	2447.728737
93	2444.626806
94	2438.630308
95	2433.098514
96	2426.424408
97	2421.94672
98	2413.791404
99	2409.964451
100	2400.938189
101	2394.924503
102	2387.599457
103	2383.07093
104	2374.336774
105	2370.019119
106	2364.896637
107	2360.60339
108	2353.987176
109	2349.994017
110	2342.566703
111	2336.982161
112	2330.85822
113	2324.494755
114	2322.695038
115	2317.852868
116	2312.012885
117	2306.839628
118	2301.79064
119	2297.860531
120	2293.616029
121	2290.073444
122	2286.732094
123	2282.438741
124	2277.382331
125	2273.063547
126	2270.293963
127	2264.665556
128	2261.820515
129	2255.454633
130	2252.354634
131	2246.119563
132	2240.195569
133	2237.968471
134	2235.293775
135	2227.672315
136	2224.36505
137	2218.432869
138	2215.981662
139	2213.116149
140	2209.452491
141	2205.007291
142	2202.490945
143	2198.775854
144	2195.564064
145	2191.350892
146	2185.973877
147	2183.309489
148	2180.478214
149	2176.077892
150	2169.488436
151	2167.106602
152	2163.238809
153	2159.182903
154	2154.524582
155	2150.884673
156	2146.766767
157	2144.620527
158	2141.655625
159	2139.631878
160	2136.775085
161	2134.172938
162	2131.988235
163	2128.425626
164	2124.098072
165	2118.78254
166	2116.187845
167	2114.565463
168	2110.439108
169	2107.344748
170	2102.205201
171	2097.853757
172	2094.300416
173	2089.812716
174	2084.050778
175	2082.995851
176	2080.123432
177	2076.947613
178	2074.585792
179	2069.725673
180	2066.459518
181	2063.885079
182	2059.789907
183	2055.1778
184	2050.237136
185	2046.42231
186	2042.583062
187	2040.134805
188	2035.805084
189	2032.569386
190	2029.746926
191	2026.844351
192	2023.834978
193	2021.084487
194	2017.910087
195	2016.466095
196	2014.272424
197	2010.45571
198	2008.730648
199	2007.104108
200	2003.133628
201	2001.376689
202	1998.114505
203	1995.824591
204	1992.460378
205	1989.452195
206	1987.485867
207	1982.931071
208	1978.010587
209	1974.428375
210	1969.787878
211	1965.037536
212	1962.719273
213	1958.434108
214	1953.852818
215	1949.998753
216	1948.883298
217	1946.40137
218	1944.457609
219	1940.829868
220	1939.625604
221	1937.318673
222	1933.433697
223	1931.325182
224	1928.493054
225	1923.244155
226	1919.871027
227	1915.049908
228	1909.242799
229	1905.919201
230	1903.916275
231	1900.986757
232	1897.774529
233	1895.359053
234	1893.34045
235	1891.837764
236	1888.419747
237	1887.526094
238	1884.030581
239	1879.68723
240	1877.350855
241	1876.348696
242	1873.102914
243	1870.644021
244	1868.434168
245	1866.931827
246	1865.637173
247	1862.757496
248	1860.725051
249	1857.304221
250	1856.27918
251	1854.832923
252	1850.973677
253	1848.594834
254	1846.375004
255	1844.805831
256	1842.314792
257	1840.551865
258	1838.195242
259	1836.779849
260	1834.165328
261	1832.182206
262	1829.858663
263	1826.848819
264	1826.086242
265	1824.402126
266	1821.848584
267	1818.240882
268	1816.25186
269	1814.528655
270	1811.09591
271	1810.198323
272	1807.081239
273	1805.699483
274	1804.05703
275	1802.70134
276	1801.67059
277	1800.794606
278	1798.857238
279	1794.808234
280	1790.948381
281	1788.568887
282	1786.114094
283	1785.477842
284	1782.576485
285	1780.128228
286	1777.536786
287	1774.881757
288	1772.208916
289	1770.814569
290	1767.97744
291	1765.285346
292	1763.476676
293	1761.797886
294	1756.96062
295	1755.677336
296	1753.603372
297	1752.117647
298	1749.898661
299	1744.925692
300	1743.565163
301	1740.53165
302	1738.372076
303	1736.303139
304	1735.446811
305	1732.250164
306	1729.945395
307	1729.009909
308	1726.669242
309	1725.688474
310	1724.102911
311	1721.717362
312	1718.351434
313	1716.435641
314	1712.23772
315	1708.312719
316	1706.220543
317	1704.753286
318	1702.646718
319	1701.311816
320	1698.301825
321	1695.280831
322	1693.752489
323	1691.222744
324	1688.152819
325	1685.406772
326	1684.610362
327	1682.142011
328	1678.821828
329	1677.147376
330	1674.887166
331	1672.631641
332	1669.10022
333	1666.742301
334	1665.897935
335	1662.846828
336	1661.712926
337	1659.27843
338	1655.20614
339	1652.396218
340	1650.883614
341	1648.579823
342	1647.246128
343	1645.551855
344	1643.723632
345	1641.571032
346	1639.726483
347	1638.630579
